timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-12-26,0.00310600,0.00338900,0.00305100,0.00327000,142718321.00000000,1609027199999,460554.75110200,5325,81255635.00000000,262474.71173200,0
2020-12-27,0.00327300,0.00348600,0.00320700,0.00332800,203739300.00000000,1609113599999,683847.39517500,7448,91034572.00000000,305553.58171200,0
2020-12-28,0.00332800,0.00360000,0.00330200,0.00343100,249923129.00000000,1609199999999,859825.41680000,7790,127609846.00000000,437596.32531900,0
2020-12-29,0.00343100,0.00344200,0.00299800,0.00321800,284925448.00000000,1609286399999,914396.16265400,9189,137668383.00000000,443300.54330000,0
2020-12-30,0.00321800,0.00354900,0.00320600,0.00337000,284684325.00000000,1609372799999,961447.47832200,9104,159244533.00000000,537903.99910900,0
2020-12-31,0.00335900,0.00337000,0.00296700,0.00311400,557549503.00000000,1609459199999,1734295.19601700,12732,287881465.00000000,890000.84505400,0
2021-01-01,0.00311900,0.00350000,0.00309100,0.00339400,380768180.00000000,1609545599999,1254501.15657200,12526,205210462.00000000,675396.59609800,0
2021-01-02,0.00338000,0.00530400,0.00326000,0.00453600,4256622494.00000000,1609631999999,18748262.70236500,85093,2130465322.00000000,9420075.71383400,0
2021-01-03,0.00453600,0.00580000,0.00442800,0.00466100,4746065241.00000000,1609718399999,24573254.74231400,111268,2435664459.00000000,12596289.71295700,0
2021-01-04,0.00467400,0.00490100,0.00390000,0.00432100,1096178593.00000000,1609804799999,4761722.37991100,34110,513127543.00000000,2232989.40016700,0
2021-01-05,0.00432100,0.00439600,0.00382500,0.00421600,789330860.00000000,1609891199999,3220948.19284400,23647,436018743.00000000,1776522.84102000,0
2021-01-06,0.00421700,0.00490000,0.00385000,0.00456400,1427092264.00000000,1609977599999,6196594.22347600,40843,735005789.00000000,3195611.91472700,0
2021-01-07,0.00456500,0.00522000,0.00440000,0.00489800,1255978370.00000000,1610063999999,6146296.39627700,39156,657604027.00000000,3219002.70338000,0
2021-01-08,0.00489600,0.00504800,0.00446800,0.00478600,842233121.00000000,1610150399999,4091910.56431300,28195,456820107.00000000,2221630.61665800,0
2021-01-09,0.00478600,0.00525800,0.00461500,0.00511500,781612721.00000000,1610236799999,3932192.04339700,28875,396593195.00000000,1994755.53038900,0
2021-01-10,0.00510600,0.00547000,0.00450000,0.00490200,772675897.00000000,1610323199999,3894853.46063300,27199,368919112.00000000,1862320.22910000,0
2021-01-11,0.00494600,0.00544000,0.00375000,0.00434600,993072588.00000000,1610409599999,4432103.57352500,31734,490879085.00000000,2210089.62899400,0
